date,open,high,low,close,volume
2018-12-21,33450,33500,32600,32900,591110
2018-12-24,32950,32950,32100,32650,309145
2018-12-26,32500,32850,31950,32300,374989
2018-12-27,31600,32350,31300,31950,433573
2018-12-28,32000,32400,31900,32000,282674
2019-01-02,31500,31850,30650,30900,566331
2019-01-03,31300,31950,30850,31700,376071
2019-01-04,31950,33050,31700,32850,730220
2019-01-07,32950,32950,32150,32350,415350
2019-01-08,32650,32650,32050,32200,266288
2019-01-09,32100,32400,31500,31850,413363
2019-01-10,31500,32150,31400,31800,353747
2019-01-11,31950,32350,31500,32250,376372
2019-01-14,31900,32350,31600,32300,358698
2019-01-15,32650,32650,32000,32200,380420
2019-01-16,31850,32550,31850,32250,302918
2019-01-17,32200,32300,31550,31550,325748
2019-01-18,31650,32150,31600,32150,682792
2019-01-21,32150,32150,31550,32000,462822
2019-01-22,32000,32100,31700,32100,348438
2019-01-23,32550,33450,32400,33250,604236
2019-01-24,32750,33500,32650,33500,357623
2019-01-25,33000,33200,32800,32900,322334
2019-01-28,32550,33150,32350,33050,263618
2019-01-29,33000,33300,32750,33150,198712
2019-01-30,33500,33650,33150,33650,324274
2019-01-31,34000,34050,33200,34000,478343
2019-02-01,34000,34100,33200,33500,382803
2019-02-07,33950,34050,33500,34000,329232
2019-02-08,34100,34100,33500,33950,283534
2019-02-11,34200,34200,33700,34050,335675
2019-02-12,34100,34150,33200,33550,549299
2019-02-13,33700,34100,33400,34100,380600
2019-02-14,33550,34550,33250,34550,626877
2019-02-15,33700,33800,31300,32050,2770596
2019-02-18,32000,32550,31900,32350,477737
2019-02-19,32350,32500,31500,31700,814336
2019-02-20,31700,32000,31550,31800,575617
2019-02-21,31800,31850,31250,31400,461655
2019-02-22,31400,31600,31150,31550,366735
2019-02-25,31600,31650,31300,31600,216729
2019-02-26,31500,31600,30850,31050,748986
2019-02-27,31100,31200,30900,31200,348132
2019-02-28,31150,31150,30750,30900,779251
2019-03-04,30750,30950,30350,30450,658249
2019-03-05,30500,30750,30200,30750,418367
2019-03-06,30950,31400,30700,30850,351331
2019-03-07,30950,31000,30550,30750,245034
2019-03-08,30350,30550,30150,30450,313495
2019-03-11,30700,31550,30500,31500,612802
2019-03-12,31550,31600,31100,31100,317078
2019-03-13,31100,31500,30900,31500,292231
2019-03-14,31550,32000,30900,32000,702347
2019-03-15,31900,32650,31800,32650,567981
2019-03-18,32450,32750,31900,32750,344553
2019-03-19,32750,32800,32150,32650,234037
2019-03-20,32200,32800,32050,32650,252203
2019-03-21,32500,32800,31850,32100,425402
2019-03-22,32000,32400,31800,32350,313770
2019-03-25,32400,32450,32000,32050,169405
2019-03-26,32300,32800,32000,32400,386994
2019-03-27,32300,32400,31800,32150,218764
2019-03-28,31800,32300,31300,31500,280426
2019-03-29,31200,32100,31200,32000,460705
2019-04-01,32000,32100,31350,31650,357173
2019-04-02,31800,32400,31800,32250,275658
2019-04-03,31800,32150,31500,31750,255867
2019-04-04,31800,31900,31500,31600,200277
2019-04-05,31800,31850,31500,31700,113386
2019-04-08,31700,31800,31350,31500,219269
2019-04-09,31500,31550,30950,31250,402461
2019-04-10,31250,31750,31200,31600,364901
2019-04-11,31600,31650,31200,31250,461254
2019-04-12,31500,32800,31350,32600,640551
2019-04-15,32450,33350,32450,32950,613116
2019-04-16,32500,33000,32150,32800,228918
2019-04-17,32450,32700,32100,32500,189133
2019-04-18,32150,32650,32050,32550,244409
2019-04-19,33000,33850,32750,33100,423481
2019-04-22,33400,34100,33150,34000,430050
2019-04-23,34200,34450,34000,34100,324012
2019-04-24,34050,34050,33500,33950,253563
2019-04-25,34000,34000,33200,33850,192902
2019-04-26,34100,34100,33400,33850,183318
2019-04-29,33250,34000,33250,34000,291799
2019-04-30,34000,34350,33550,34000,242390
2019-05-02,33800,34200,33450,34150,213725
2019-05-03,33750,33750,32850,32950,285561
2019-05-07,32500,33150,32300,33100,255091
2019-05-08,32400,33350,32400,33150,163589
2019-05-09,32750,33350,32450,32450,563079
2019-05-10,32950,33300,32150,32350,274665
2019-05-13,32000,33350,32000,32500,299942
2019-05-14,32950,33000,31250,31700,332164
2019-05-15,31400,31650,30800,31550,401837
2019-05-16,31200,31550,30800,30950,374015
2019-05-17,31450,31650,31000,31050,199230
2019-05-20,31450,31550,30550,31000,257061
2019-05-21,30700,31200,30650,30750,311322
2019-05-22,30650,30850,30100,30700,303057
2019-05-23,30800,30950,30300,30650,169745
2019-05-24,30450,31200,30300,31150,245246
2019-05-27,30900,31000,30600,30900,128328
2019-05-28,31150,31300,30850,31250,619718
2019-05-29,31500,31500,30450,30700,270072
2019-05-30,30800,31100,30450,31100,269210
2019-05-31,30650,31200,30500,31050,333723
2019-06-03,31000,31850,30450,31800,378940
2019-06-04,31350,31950,31200,31950,296365
2019-06-05,31550,31800,31150,31300,231916
2019-06-07,31200,31450,30700,30850,305431
2019-06-10,31100,31500,31000,31500,202817
2019-06-11,30900,31000,29950,30650,986812
2019-06-12,30650,30800,30450,30500,295775
2019-06-13,30650,30850,30250,30850,435941
2019-06-14,30700,30850,30350,30600,228052
2019-06-17,30700,30800,30450,30650,144932
2019-06-18,30600,30900,30550,30800,240554
2019-06-19,30650,31250,30650,31150,158982
2019-06-20,31400,31400,31050,31200,161726
2019-06-21,30950,31300,30950,31300,209767
2019-06-24,31350,31400,30600,30900,163633
2019-06-25,31000,31150,30600,30600,289581
2019-06-26,30400,30750,30350,30600,216845
2019-06-27,30450,30800,30100,30700,271366
